id,name,description,keywords,image_url,category,origin,color,season
11,Chôm Chôm Nhãn,"Chôm Chôm Nhãn vỏ đỏ có gai ngắn, thịt trắng trong, tróc hạt, vị ngọt lịm, thơm.","ngọt lịm, thơm, tróc hạt, đỏ",http://localhost:5000/static/images/chom_chom_nhan.jpg,Trái cây nhiệt đới,Miền Nam,"đỏ, trắng",mùa hè
12,Dừa Xiêm Xanh,"Dừa Xiêm Xanh trái nhỏ, vỏ xanh, nước ngọt thanh mát, cùi dừa mỏng và mềm.","ngọt mát, thanh nhiệt, giải khát",http://localhost:5000/static/images/dua_xiem_xanh.jpg,Trái cây nhiệt đới,Bến Tre,"xanh, trắng",quanh năm
13,Quýt Hồng,"Quýt Hồng vỏ mỏng, màu cam hồng tươi, múi mọng nước, vị ngọt thanh xen lẫn chút chua nhẹ, thơm đặc trưng.","ngọt thanh, chua nhẹ, mọng nước, thơm",http://localhost:5000/static/images/quyt_hong.jpg,Trái cây có múi,"Lai Vung, Đồng Tháp","cam, hồng","mùa đông, xuân"
14,Măng Cụt,"Măng Cụt vỏ tím sẫm, dày, ruột trắng muốt, chia múi, vị chua ngọt hài hòa, thanh mát, thơm dịu.","chua ngọt, thanh mát, thơm dịu, trắng",http://localhost:5000/static/images/mang_cut.jpg,Trái cây nhiệt đới,Miền Nam,"tím, trắng",mùa hè
15,Roi An Phước,"Roi An Phước trái hình chuông, màu đỏ tươi, vỏ bóng, thịt giòn, ngọt mát, nhiều nước.","giòn, ngọt mát, nhiều nước, đỏ",http://localhost:5000/static/images/roi_an_phuoc.jpg,Trái cây nhiệt đới,Đồng bằng sông Cửu Long,"đỏ, trắng",quanh năm
16,Dứa (Thơm),"Dứa có vỏ vàng cam khi chín, mắt dứa sâu, thịt vàng, vị chua ngọt đậm đà, thơm nồng.","chua ngọt, thơm nồng, giải khát",http://localhost:5000/static/images/dua_thom.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
17,Hồng Xiêm (Sapoche),"Hồng Xiêm vỏ nâu, thịt mềm, ngọt lịm, có mùi thơm đặc trưng, giàu dinh dưỡng.","ngọt lịm, thơm, mềm, bổ dưỡng",http://localhost:5000/static/images/hong_xiem.jpg,Trái cây nhiệt đới,Miền Nam,"nâu, vàng",quanh năm
18,Na (Mãng Cầu Ta),"Na có vỏ xanh sần sùi, ruột trắng, mềm, vị ngọt đậm, thơm, nhiều hạt.","ngọt đậm, thơm, mềm, nhiều hạt",http://localhost:5000/static/images/na.jpg,Trái cây nhiệt đới,Miền Bắc,"xanh, trắng","mùa hè, thu"
19,Mãng Cầu Gai (Xiêm),"Mãng Cầu Gai vỏ xanh có gai mềm, thịt trắng, chua ngọt, thơm dịu, thường dùng làm sinh tố.","chua ngọt, thơm dịu, làm sinh tố",http://localhost:5000/static/images/mang_cau_gai.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, trắng",quanh năm
20,Khế Ngọt,"Khế Ngọt có 5 cánh rõ rệt, màu xanh khi non và vàng khi chín, vị ngọt thanh, giòn.","ngọt thanh, giòn, giải khát",http://localhost:5000/static/images/khe_ngot.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, vàng",quanh năm
21,Vú Sữa Lò Rèn,"Vú Sữa Lò Rèn vỏ tím hoặc xanh, bóng, ruột trắng sữa, ngọt thanh, thơm dịu, dẻo.","ngọt thanh, thơm, dẻo, sữa",http://localhost:5000/static/images/vu_sua_lo_ren.jpg,Trái cây nhiệt đới,Miền Nam,"tím, xanh, trắng","mùa đông, xuân"
22,Đu Đủ,"Đu Đủ vỏ xanh khi non, chuyển vàng cam khi chín, thịt mềm, ngọt, thơm dịu, nhiều hạt đen.","ngọt, mềm, thơm, bổ dưỡng",http://localhost:5000/static/images/du_du.jpg,Trái cây nhiệt đới,Nhiều nơi,"xanh, cam, đen",quanh năm
23,Dưa Hấu,"Dưa Hấu vỏ xanh sọc, ruột đỏ hoặc vàng, nhiều nước, ngọt mát, giải khát.","ngọt mát, nhiều nước, giải khát",http://localhost:5000/static/images/dua_hau.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, đỏ, vàng",quanh năm
24,Mít Tố Nữ,"Mít Tố Nữ quả nhỏ, múi vàng, thơm lừng, ngọt đậm, hạt nhỏ, múi mít giòn nhẹ.","ngọt đậm, thơm lừng, giòn nhẹ",http://localhost:5000/static/images/mit_to_nu.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",mùa hè
25,Bơ Sáp,"Bơ Sáp vỏ xanh bóng, thịt vàng kem, dẻo, béo ngậy, hạt nhỏ, giàu dinh dưỡng.","béo ngậy, dẻo, bổ dưỡng",http://localhost:5000/static/images/bo_sap.jpg,Trái cây nhiệt đới,Tây Nguyên,"xanh, vàng",mùa hè
26,Dâu Tằm,"Dâu Tằm quả nhỏ, hình bầu dục, màu tím đen khi chín, vị chua ngọt, thường dùng làm nước giải khát.","chua ngọt, giải khát, tím",http://localhost:5000/static/images/dau_tam.jpg,Quả mọng,Miền Bắc,"đen, tím",mùa xuân
27,Sơ Ri,"Sơ Ri quả nhỏ, màu đỏ tươi, vị chua ngọt, nhiều vitamin C.","chua ngọt, vitamin C, đỏ",http://localhost:5000/static/images/so_ri.jpg,Trái cây nhiệt đới,Miền Nam,đỏ,quanh năm
28,Cóc,"Cóc quả xanh, giòn, vị chua đậm, thường ăn kèm muối ớt.","chua, giòn, ăn vặt",http://localhost:5000/static/images/coc.jpg,Trái cây phổ biến,Nhiều nơi,xanh,quanh năm
29,Me Chua,"Me Chua quả dài, vỏ nâu, thịt chua đậm, thường dùng làm gia vị hoặc nước giải khát.","chua đậm, làm gia vị, giải khát",http://localhost:5000/static/images/me_chua.jpg,Trái cây phổ biến,Miền Nam,nâu,mùa hè
30,Ổi Ruby,"Ổi Ruby có ruột hồng đào, ít hạt, thịt giòn, vị ngọt thanh, thơm nhẹ.","giòn, ngọt thanh, ít hạt, hồng",http://localhost:5000/static/images/oi_ruby.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, hồng",quanh năm
31,Nho Ninh Thuận,"Nho Ninh Thuận quả tròn, màu đỏ hoặc xanh, vị chua ngọt hài hòa, giòn, thường có hạt.","chua ngọt, giòn, có hạt",http://localhost:5000/static/images/nho_ninh_thuan.jpg,Quả mọng,Ninh Thuận,"đỏ, xanh",quanh năm
32,Chanh Dây,"Chanh Dây vỏ tím hoặc vàng, ruột vàng cam, có hạt đen, vị chua thanh, thơm nồng, thường dùng làm nước giải khát.","chua thanh, thơm nồng, giải khát",http://localhost:5000/static/images/chanh_day.jpg,Trái cây nhiệt đới,Tây Nguyên,"tím, vàng, cam",quanh năm
33,Đào Sapa,"Đào Sapa vỏ hồng phấn, có lông tơ, thịt trắng giòn, vị chua ngọt thanh mát.","chua ngọt, giòn, thanh mát",http://localhost:5000/static/images/dao_sapa.jpg,Trái cây ôn đới,Lào Cai,"hồng, trắng","mùa xuân, hè"
34,Mận Hậu Mộc Châu,"Mận Hậu Mộc Châu quả tròn, màu tím đỏ, vị chua chát khi non, ngọt đậm khi chín, giòn.","chua chát, ngọt đậm, giòn",http://localhost:5000/static/images/man_hau.jpg,Trái cây ôn đới,Sơn La,"đỏ, tím",mùa hè
35,Long Nhãn,"Long Nhãn vỏ nâu, thịt trắng trong, vị ngọt nhẹ, thơm dịu, hơi dẻo, ít nước.","ngọt nhẹ, thơm dịu, dẻo",http://localhost:5000/static/images/long_nhan.jpg,Trái cây nhiệt đới,Hưng Yên,"nâu, trắng",mùa hè
36,Dứa Mật,"Dứa Mật trái nhỏ, ruột vàng đậm, ngọt lịm như mật ong, thơm nồng.","ngọt lịm, thơm nồng, mật ong",http://localhost:5000/static/images/dua_mat.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
37,Khế Chua,"Khế Chua có 5 cánh, màu xanh, vị chua đậm, thường dùng làm gia vị hoặc nước chấm.","chua đậm, làm gia vị",http://localhost:5000/static/images/khe_chua.jpg,Trái cây phổ biến,Nhiều nơi,xanh,quanh năm
38,Vải Thanh Hà,"Vải Thanh Hà quả tròn, vỏ đỏ tươi, cùi dày, hạt nhỏ, vị ngọt đậm, thơm, mọng nước.","ngọt đậm, thơm, mọng nước, hạt nhỏ",http://localhost:5000/static/images/vai_thanh_ha.jpg,Trái cây nhiệt đới,Hải Dương,"đỏ, trắng",mùa hè
39,Chuối Ngự,"Chuối Ngự quả nhỏ, thon dài, vỏ mỏng, thịt vàng, vị ngọt đậm, thơm đặc biệt, dùng tiến vua.","ngọt đậm, thơm, tiến vua",http://localhost:5000/static/images/chuoi_ngu.jpg,Trái cây nhiệt đới,Nam Định,"vàng, xanh",quanh năm
40,Quả Sim,"Quả Sim nhỏ, tròn, màu tím đen khi chín, vị ngọt chát, thường dùng ngâm rượu.","ngọt chát, tím, ngâm rượu",http://localhost:5000/static/images/qua_sim.jpg,Quả mọng,"Miền núi, ven biển","tím, đen",mùa hè
41,Bơ Booth,"Bơ Booth vỏ sần, xanh đậm, thịt vàng kem, dẻo, béo ngậy, hạt vừa.","béo ngậy, dẻo, dinh dưỡng",http://localhost:5000/static/images/bo_booth.jpg,Trái cây nhiệt đới,Tây Nguyên,"xanh, vàng",mùa hè
42,Thanh Trà,"Thanh Trà quả nhỏ, màu vàng tươi, vị chua ngọt hài hòa, giòn, thơm nhẹ.","chua ngọt, giòn, thơm nhẹ",http://localhost:5000/static/images/thanh_tra.jpg,Trái cây nhiệt đới,Cần Thơ,"vàng, xanh",mùa hè
43,Bòn Bon,"Bòn Bon quả tròn, vỏ vàng nhạt, ruột trắng trong, chia múi, vị chua ngọt thanh.","chua ngọt, thanh, trắng",http://localhost:5000/static/images/bon_bon.jpg,Trái cây nhiệt đới,Miền Nam,"vàng, trắng",mùa hè
44,Chanh Không Hạt,"Chanh Không Hạt quả tròn, vỏ xanh bóng, nhiều nước, vị chua thanh, không hạt.","chua thanh, nhiều nước, không hạt",http://localhost:5000/static/images/chanh_khong_hat.jpg,Trái cây có múi,Miền Nam,xanh,quanh năm
45,Quả Artichoke Jerusalem (Atisô Jerusalem),"Quả Artichoke Jerusalem (Atisô Jerusalem) củ không đều, màu nâu nhạt, vị ngọt nhẹ, bùi, thường dùng luộc, xào.","ngọt nhẹ, bùi",http://localhost:5000/static/images/artichoke_jerusalem.jpg,Rau ăn củ,Bắc Mỹ,nâu,mùa thu
46,Quả Đào Tiên,"Quả Đào Tiên tròn, vỏ cứng, màu xanh đậm, ruột trắng xốp, thường dùng làm cảnh hoặc ngâm rượu.","làm cảnh, ngâm rượu, xanh",http://localhost:5000/static/images/dao_tien.jpg,Trái cây đặc biệt,Miền Nam,"xanh, trắng",quanh năm
47,Quả Wasabi (Cải Ngựa Nhật Bản),"Quả Wasabi (Cải Ngựa Nhật Bản) thân rễ, màu xanh, vị cay nồng, thường dùng làm gia vị.","cay nồng, gia vị",http://localhost:5000/static/images/wasabi.jpg,Gia vị,Nhật Bản,xanh,quanh năm
48,Mận Đường,"Roi Đường quả nhỏ hơn Roi An Phước, màu xanh nhạt, ngọt thanh, giòn.","ngọt thanh, giòn, nhỏ",http://localhost:5000/static/images/man_duong.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, trắng",quanh năm
49,Dâu Đất (Mắc Cọp),"Dâu Đất quả nhỏ, hình tròn, màu đỏ tươi, vị chua ngọt, mọc dại ở vùng núi.","chua ngọt, mọc dại, đỏ",http://localhost:5000/static/images/dau_dat.jpg,Quả mọng,Miền núi,đỏ,mùa hè
50,Bơ Hass,"Bơ Hass vỏ sần, tím đen khi chín, thịt vàng kem, rất dẻo, béo, hạt nhỏ.","béo, dẻo, hạt nhỏ",http://localhost:5000/static/images/bo_hass.jpg,Trái cây nhiệt đới,Tây Nguyên,"xanh, tím, vàng",mùa hè
51,Quả Bứa,"Quả Bứa nhỏ, tròn, màu xanh vàng, vị chua gắt, thường dùng làm gia vị.","chua gắt, làm gia vị",http://localhost:5000/static/images/qua_bua.jpg,Trái cây phổ biến,Miền núi,"xanh, vàng",quanh năm
52,Lựu Đỏ,"Lựu Đỏ vỏ đỏ tươi, ruột nhiều hạt mọng nước, vị ngọt thanh, giòn, giải khát.","ngọt thanh, giòn, giải khát",http://localhost:5000/static/images/luu_do.jpg,Trái cây ôn đới,Ninh Thuận,"đỏ, trắng","mùa hè, thu"
53,Vải U Hồng,"Vải U Hồng quả to, vỏ hồng, cùi dày, hạt to hơn vải thiều, vị ngọt thanh.","ngọt thanh, cùi dày",http://localhost:5000/static/images/vai_u_hong.jpg,Trái cây nhiệt đới,Bắc Giang,"hồng, trắng",mùa hè
54,Quýt Đường,"Quýt Đường vỏ mỏng, vàng tươi, múi mọng nước, vị ngọt đậm, ít chua.","ngọt đậm, mọng nước, ít chua",http://localhost:5000/static/images/quyt_duong.jpg,Trái cây có múi,Miền Nam,"vàng, cam",quanh năm
55,Bưởi Năm Roi,"Bưởi Năm Roi vỏ vàng nhạt, ruột trắng, múi ráo, vị chua ngọt nhẹ, thơm.","chua ngọt, múi ráo, thơm",http://localhost:5000/static/images/buoi_nam_roi.jpg,Trái cây có múi,Vĩnh Long,"vàng, trắng",mùa thu
56,Hồng Giòn,"Hồng Giòn vỏ vàng cam, thịt giòn sần sật, vị ngọt thanh, không hạt.","ngọt thanh, giòn, không hạt",http://localhost:5000/static/images/hong_gion.jpg,Trái cây ôn đới,Đà Lạt,"cam, vàng",mùa thu
57,Chuối Laba,"Chuối Laba quả to, dài, vỏ dày, thịt vàng óng, vị ngọt đậm, dẻo thơm.","ngọt đậm, dẻo, thơm",http://localhost:5000/static/images/chuoi_laba.jpg,Trái cây nhiệt đới,Lâm Đồng,"vàng, xanh",quanh năm
58,Mận Tam Hoa,"Mận Tam Hoa quả to, hình trái tim, màu đỏ tím, vị chua ngọt hài hòa, giòn.","chua ngọt, giòn, đỏ tím",http://localhost:5000/static/images/man_tam_hoa.jpg,Trái cây ôn đới,Lào Cai,"đỏ, tím",mùa hè
59,Dưa lưới,"Dưa lưới vỏ màu xanh xám có vân lưới, ruột cam hoặc xanh, vị ngọt đậm, thơm mát, giòn.","ngọt đậm, thơm mát, giòn",http://localhost:5000/static/images/dua_luoi.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, cam, vàng",quanh năm
60,Ổi Bo,"Ổi Bo quả to, vỏ xanh nhạt, ruột trắng, thịt giòn, vị ngọt nhẹ, thơm đặc trưng.","giòn, ngọt nhẹ, thơm",http://localhost:5000/static/images/oi_bo.jpg,Trái cây phổ biến,Miền Bắc,"xanh, trắng",quanh năm
61,Quả Chanh Đào,"Chanh Đào vỏ vàng hồng, ruột hồng, thơm đặc trưng, thường dùng ngâm mật ong trị ho.","thơm, trị ho, hồng",http://localhost:5000/static/images/chanh_dao.jpg,Trái cây có múi,Miền Bắc,"vàng, hồng",mùa thu
62,Trái Đào Lòng Vàng,"Đào Lòng Vàng vỏ hồng nhạt, ruột vàng, thịt mềm, vị ngọt thanh.","ngọt thanh, mềm",http://localhost:5000/static/images/dao_long_vang.jpg,Trái cây ôn đới,Sapa,"hồng, vàng",mùa hè
63,Chuối Cau,"Chuối Cau quả nhỏ, tròn mập, vỏ mỏng, thịt vàng, ngọt đậm, thơm.","ngọt đậm, thơm, nhỏ",http://localhost:5000/static/images/chuoi_cau.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
64,Mít Ruột Đỏ,"Mít Ruột Đỏ múi to, màu đỏ tươi, thơm lừng, ngọt đậm, giòn hoặc mềm tùy giống.","ngọt đậm, thơm lừng, ruột đỏ",http://localhost:5000/static/images/mit_ruot_do.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, đỏ",mùa hè
65,Xoài Tứ Quý,"Xoài Tứ Quý quả to, xanh đậm, vị chua ngọt khi non, ngọt thanh khi chín, có thể ra trái quanh năm.","chua ngọt, to, quanh năm",http://localhost:5000/static/images/xoai_tu_quy.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",quanh năm
66,Vú Sữa Bách Thảo,"Vú Sữa Bách Thảo quả to, vỏ xanh nhạt, thịt mềm, ngọt đậm, ít nhựa.","ngọt đậm, mềm, ít nhựa",http://localhost:5000/static/images/vu_sua_bach_thao.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, trắng","mùa đông, xuân"
67,Sầu Riêng Chuồng Bò,"Sầu Riêng Chuồng Bò cơm vàng đậm, vị ngọt béo vừa phải, hương thơm nhẹ hơn Ri6.","ngọt béo, thơm nhẹ",http://localhost:5000/static/images/sau_rieng_chuong_bo.jpg,Trái cây nhiệt đới,Miền Tây,"xanh, vàng",mùa hè
68,Quả White Corn (Ngô Trắng),"Quả White Corn (Ngô Trắng) hạt trắng, vị ngọt nhẹ, thường luộc.","ngọt nhẹ, hạt",http://localhost:5000/static/images/white_corn.jpg,Hạt ăn được,Trung Mỹ,trắng,mùa hè
69,Chôm Chôm Java,"Chôm Chôm Java vỏ đỏ gai dài, thịt không tróc hạt, vị ngọt vừa, ít thơm hơn chôm chôm nhãn.","ngọt vừa, không tróc hạt",http://localhost:5000/static/images/chom_chom_java.jpg,Trái cây nhiệt đới,Miền Nam,"đỏ, trắng",mùa hè
70,Thanh Long Ruột Trắng,"Thanh Long ruột trắng vỏ hồng, ruột trắng có hạt đen, vị ngọt thanh, giòn mát.","ngọt thanh, giòn, mát",http://localhost:5000/static/images/thanh_long_trang.jpg,Trái cây nhiệt đới,Bình Thuận,"hồng, trắng",quanh năm
71,Táo Mèo (Sơn Tra),"Táo Mèo quả nhỏ, xanh vàng, vị chua chát, thường dùng ngâm rượu hoặc làm ô mai.","chua chát, ngâm rượu, ô mai",http://localhost:5000/static/images/tao_meo.jpg,Trái cây phổ biến,Miền núi phía Bắc,"xanh, vàng",mùa thu
72,Dưa Kim Hoàng Hậu,"Dưa Kim Hoàng Hậu vỏ vàng tươi, ruột cam, vị ngọt đậm, thơm đặc trưng, giòn.","ngọt đậm, thơm, giòn",http://localhost:5000/static/images/dua_kim_hoang_hau.jpg,Trái cây phổ biến,Nhiều nơi,"vàng, cam",quanh năm
73,Xoài Thái,"Xoài Thái quả to, xanh mướt, vị ngọt đậm, giòn khi còn xanh, thơm.","ngọt đậm, giòn, thơm",http://localhost:5000/static/images/xoai_thai.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",quanh năm
74,Cà Na,"Cà Na quả nhỏ, xanh đậm, vị chua chát, thường dầm với đường, muối ớt.","chua chát, dầm, xanh",http://localhost:5000/static/images/ca_na.jpg,Trái cây phổ biến,Miền Nam,xanh,mùa nước nổi
75,Dứa Tắc (Tắc Trái),"Dứa Tắc quả nhỏ, tròn, vỏ vàng cam, vị chua gắt, thơm nồng, dùng làm nước giải khát.","chua gắt, thơm nồng, giải khát",http://localhost:5000/static/images/dua_tac.jpg,Trái cây có múi,Miền Nam,"vàng, cam",quanh năm
76,Quả Water Chestnut (Củ Năng),"Quả Water Chestnut (Củ Năng) củ nhỏ, màu nâu đen, thịt trắng, giòn, ngọt nhẹ, thường dùng ăn sống, nấu chè.","giòn, ngọt nhẹ",http://localhost:5000/static/images/water_chestnut.jpg,Rau ăn củ,Châu Á,"nâu, trắng",quanh năm
77,Khế Lùn,"Khế Lùn quả nhỏ, tương tự khế ngọt, vị ngọt thanh, giòn.","ngọt thanh, giòn, nhỏ",http://localhost:5000/static/images/khe_lun.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, vàng",quanh năm
78,Quả Lotus Root (Ngó Sen),"Quả Lotus Root (Ngó Sen) thân rễ, màu trắng ngà, có lỗ, vị giòn, ngọt nhẹ, thường dùng nấu canh, gỏi.","giòn, ngọt nhẹ",http://localhost:5000/static/images/lotus_root.jpg,Rau ăn thân,Châu Á,trắng,quanh năm
79,Chuối Sứ,"Chuối Sứ quả to, ngắn, vỏ dày, thịt trắng ngà, vị ngọt thanh, dẻo.","ngọt thanh, dẻo",http://localhost:5000/static/images/chuoi_su.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
80,Mít Nghệ,"Mít Nghệ múi vàng cam, thơm nhẹ, vị ngọt vừa, múi mềm.","ngọt vừa, thơm nhẹ, mềm",http://localhost:5000/static/images/mit_nghe.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",mùa hè
81,Xoài Keo,"Xoài Keo quả xanh, cứng, vị chua ngọt khi non, ngọt khi chín, giòn.","chua ngọt, giòn, cứng",http://localhost:5000/static/images/xoai_keo.jpg,Trái cây nhiệt đới,"Campuchia, Miền Nam VN","xanh, vàng",quanh năm
82,Dưa Gang,"Dưa Gang vỏ xanh sọc vàng, ruột mềm, thơm, vị ngọt nhẹ, thường dùng làm sinh tố.","ngọt nhẹ, thơm, làm sinh tố",http://localhost:5000/static/images/dua_gang.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, vàng",mùa hè
83,Bưởi Đoan Hùng,"Bưởi Đoan Hùng quả to, vỏ vàng, ruột hồng, múi ráo, vị ngọt đậm, thơm lâu.","ngọt đậm, thơm lâu, múi ráo",http://localhost:5000/static/images/buoi_doan_hung.jpg,Trái cây có múi,Phú Thọ,"vàng, hồng",mùa thu
84,Hồng Trứng,"Hồng Trứng quả hình trứng, vỏ cam, thịt mềm, ngọt lịm, có hạt.","ngọt lịm, mềm, có hạt",http://localhost:5000/static/images/hong_trung.jpg,Trái cây ôn đới,Đà Lạt,"cam, vàng",mùa thu
85,Chuối Ngự Đại Hoàng,"Chuối Ngự Đại Hoàng là loại chuối Ngự đặc biệt, hương vị thơm ngon vượt trội.","ngọt đậm, thơm, tiến vua",http://localhost:5000/static/images/chuoi_ngu_dai_hoang.jpg,Trái cây nhiệt đới,Hà Nam,"vàng, xanh",quanh năm
86,Mận Đỏ Sapa,"Mận Đỏ Sapa vỏ đỏ tím đậm, vị ngọt đậm hơn mận Hậu, giòn.","ngọt đậm, giòn, đỏ tím",http://localhost:5000/static/images/man_do_sapa.jpg,Trái cây ôn đài,Lào Cai,"đỏ, tím",mùa hè
87,Cà Phê Chè,"Cà Phê Chè quả nhỏ, đỏ tươi, chứa hạt cà phê, vị hơi chua, đắng. (Thường dùng hạt)","chua, đắng, hạt",http://localhost:5000/static/images/ca_phe_che.jpg,Hạt uống,Tây Nguyên,"đỏ, đen",quanh năm
88,Chanh Giấy,"Chanh Giấy vỏ mỏng như giấy, nhiều nước, rất thơm, vị chua thanh.","chua thanh, nhiều nước, thơm",http://localhost:5000/static/images/chanh_giay.jpg,Trái cây có múi,Miền Nam,xanh,quanh năm
89,Dưa Hấu Không Hạt,"Dưa Hấu Không Hạt tương tự dưa hấu thường nhưng không có hạt, tiện lợi khi ăn.","ngọt mát, không hạt, tiện lợi",http://localhost:5000/static/images/dua_hau_khong_hat.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, đỏ",quanh năm
90,Quả Purple Corn (Ngô Tím),"Quả Purple Corn (Ngô Tím) hạt tím, giàu chất chống oxy hóa, thường làm nước uống.","tím, chống oxy hóa",http://localhost:5000/static/images/purple_corn.jpg,Hạt ăn được,Peru,tím,mùa hè
91,Xoài Non,"Xoài Non quả xanh, cứng, vị chua gắt, thường ăn kèm muối ớt.","chua gắt, cứng, ăn vặt",http://localhost:5000/static/images/xoai_non.jpg,Trái cây nhiệt đới,Nhiều nơi,xanh,quanh năm
92,Chuối Ngự Xanh,"Chuối Ngự Xanh là loại chuối Ngự được thu hoạch khi còn xanh, thường dùng để luộc.","ngọt, xanh, luộc",http://localhost:5000/static/images/chuoi_ngu_xanh.jpg,Trái cây nhiệt đới,Hà Nam,xanh,quanh năm
93,Mãng Cầu Ta Tây Ninh,"Mãng Cầu Ta Tây Ninh quả to, ruột trắng, ngọt đậm, thơm, ít hạt hơn các loại na khác.","ngọt đậm, thơm, ít hạt",http://localhost:5000/static/images/mang_cau_tay_ninh.jpg,Trái cây nhiệt đới,Tây Ninh,"xanh, trắng",mùa hè
94,Trái Chùm Ruột,"Chùm Ruột quả nhỏ, tròn, màu vàng xanh, vị chua gắt, thường dùng làm mứt hoặc ô mai.","chua gắt, làm mứt, ô mai",http://localhost:5000/static/images/chum_ruot.jpg,Trái cây phổ biến,Miền Nam,"xanh, vàng",quanh năm
